original,replacement,weight
2,n,0.034552845528455285
7,e,0.09695565850430178
2,e,0.10206155632984901
7,r,0.09099933818663138
2,3,0.012775842044134728
7,6,0.012905360688285903
2, ,0.12398373983739837
7,g,0.0671740569159497
2,q,0.03266550522648084
2,s,0.08217189314750291
7, ,0.1532097948378557
7,:,0.03176704169424222
2,r,0.061991869918699184
7,a,0.06254136333553938
2,u,0.015824622531939603
2,a,0.09465737514518002
2,i,0.05981416957026713
7,m,0.06088682991396426
2,g,0.061991869918699184
7,s,0.07743216412971542
7,l,0.030112508272667107
2,:,0.03077816492450639
7,2,0.04301786896095301
2,5,0.01248548199767712
7,3,0.011912640635340834
7,n,0.032759761747187296
2,m,0.06504065040650407
7,i,0.060225016545334215
7,t,0.030112508272667107
2,6,0.014082462253193961
7,u,0.016214427531436135
7,q,0.03242885506287227
2,t,0.03005226480836237
2,l,0.030632984901277586
2,7,0.03048780487804878
7,5,0.010589013898080741
w,n,0.06419939577039276
i,e,0.0915032679738562
w,e,0.09969788519637462
i,r,0.0955253896430367
w,g,0.05966767371601209
i,t,0.05077928607340372
w, ,0.11404833836858005
i,g,0.0693815987933635
i,w,0.023127199597787834
w,q,0.02945619335347432
w,s,0.08987915407854985
i,:,0.027149321266968326
w,l,0.07250755287009064
i,m,0.0759175465057818
w,r,0.0649546827794562
i,a,0.08044243338360986
w,m,0.07250755287009064
i, ,0.15434891905480141
w,a,0.09365558912386707
w,i,0.08534743202416918
i,l,0.06033182503770739
w,:,0.027190332326283987
i,s,0.07139265962795374
w,t,0.0445619335347432
i,n,0.06435394670688788
i,q,0.03971845148315736
2,0,0.02076074332171893
7,9,0.0066181336863004635
2,9,0.008275261324041812
7,0,0.020516214427531435
2,d,0.0039198606271777
7,d,0.002316346790205162
2,8,0.030632984901277586
7,8,0.01257445400397088
c,s,0.07139502113668389
a,:,0.028107584201599225
c,r,0.09253170502583373
c,:,0.03147017379051198
a, ,0.15871092803489217
c,a,0.10333489901362142
a,m,0.07390356190937727
a,r,0.11121880300460382
c,o,0.03475810239549084
a,l,0.05403440755997092
a,o,0.010419190695420402
c, ,0.11695631751996242
a,c,0.00969227041434456
c,g,0.058713010803193987
c,q,0.031000469704086424
a,g,0.07535740247152896
c,l,0.050258337247534056
a,y,0.009934577174703174
c,m,0.0760920620009394
a,s,0.07584201599224619
c,n,0.04133395960544857
c,y,0.008454673555659934
a,n,0.048703658832081415
t,l,0.04785478547854786
e,l,0.044147843942505136
t, ,0.13036303630363036
t,e,0.10891089108910891
e, ,0.15811088295687886
t,n,0.0462046204620462
h,e,0.09913793103448276
h,r,0.09741379310344828
h,t,0.05732758620689655
t,g,0.07260726072607261
h,g,0.06163793103448276
t,u,0.0033003300330033004
t,q,0.03382838283828383
h,k,0.0021551724137931034
t,o,0.018976897689768978
h,n,0.0375
t,s,0.0891089108910891
h, ,0.1353448275862069
h,:,0.03017241379310345
t,r,0.0891089108910891
h,a,0.08836206896551724
h,b,0.0034482758620689655
t,a,0.11056105610561057
t,i,0.07590759075907591
h,m,0.06293103448275862
h,l,0.05172413793103448
t,:,0.028877887788778877
h,s,0.07629310344827586
t,h,0.00825082508250825
t,m,0.08333333333333333
h,i,0.05991379310344828
t,b,0.005775577557755775
h,u,0.00646551724137931
h,q,0.03362068965517241
h,o,0.027155172413793102
t,k,0.004125412541254125
j,y,0.0012033694344163659
j,n,0.05896510228640193
a,j,0.00484613520717228
j,c,0.009626955475330927
j, ,0.12515042117930206
j,a,0.11070998796630566
j,l,0.036101083032490974
c,i,0.06481916392672617
c,d,0.011272898074213245
a,i,0.06857281318148777
a,e,0.11194572328567967
c,e,0.09816815406294034
a,d,0.016719166464744365
a,t,0.03755754785558517
a,q,0.03949600193845408
c,t,0.054015969938938466
8,e,0.09482538873311241
8,r,0.09023706347183279
8,g,0.07035432067295437
8, ,0.1475911292378282
8,:,0.03135355595207749
8,a,0.06474636757583482
8,m,0.05990313535559521
8,u,0.011725720112159062
8,l,0.030333928116237575
8,s,0.07009941371399439
8,2,0.05098139179199592
8,7,0.017843487127198573
8,n,0.035177160336477185
8,i,0.05862860056079531
8,t,0.029569207239357635
8,q,0.036196788172317106
8,9,0.007137394850879429
8,3,0.009431557481519245
b,o,0.02094647013188518
e,m,0.07340862422997947
b,n,0.05896043444530644
b,e,0.10162916989914662
e,r,0.11036960985626283
b, ,0.11947245927075252
e,b,0.012833675564681724
b,t,0.05508145849495733
e,t,0.05184804928131417
e,o,0.01642710472279261
e,g,0.07340862422997947
b,q,0.028704422032583398
b,s,0.07292474786656322
e,:,0.029774127310061602
b,r,0.08223429014740109
e,a,0.08470225872689939
b,a,0.11326609775019394
b,m,0.07059736229635376
b,i,0.0682699767261443
b,g,0.05663304887509697
b,y,0.013964313421256789
b,w,0.007757951900698216
e,n,0.054414784394250515
b,h,0.009309542280837859
b,:,0.026377036462373934
e,h,0.012833675564681724
e,s,0.07597535934291581
e,i,0.07546201232032854
e,w,0.009753593429158111
e,q,0.03285420944558522
b,l,0.03180760279286268
e,y,0.008213552361396304
s,n,0.04902576995600252
s,e,0.11062225015713388
s,r,0.0842237586423633
