original,replacement,weight
I,1,0.118652344
O,o,0.6128488931665063
l,I,0.22603550295857988
y,Y,0.30971128608923887
I,l,0.161621094
I,i,0.059570313
x,X,0.13191489361702127
5,S,0.07456647398843931
t,T,0.05834738617200674
O,0,0.30028873917228105
6,b,0.06327782646801051
9,q,0.12627506155469576
1,l,0.30078988941548185
f,t,0.04
T,7,0.012690355329949238
0,o,0.2966424368293527
g,q,0.16129032258064516
W,w,0.32878411910669975
6,G,0.051709027169149865
P,p,0.4667143879742305
f,F,0.42
8,q,0.020770459790520147
F,f,0.23958333333333334
9,7,0.0017587055926837848
Y,y,0.23057644110275688
J,d,0.012779552715654952
l,1,0.2536489151873767
W,N,0.008684863523573201
6,L,0.0036809815950920245
4,H,0.015305214450969924
1,L,0.0022116903633491313
U,u,0.4085914085914086
C,c,0.13341000575043127
V,v,0.3492462311557789
3,g,0.005863628748534092
M,m,0.503030303030303
k,h,0.004291845493562232
O,q,0.00024061597690086623
3,8,0.0003350644999162339
i,I,0.36065573770491804
1,I,0.19636650868878358
1,i,0.030963665086887835
q,Q,0.031683168316831684
X,x,0.4050925925925926
a,2,0.020072992700729927
s,S,0.8604118993135011
3,S,0.003015580499246105
t,f,0.008768971332209106
t,E,0.005396290050590219
z,Z,0.35698447893569846
d,o,0.0005941770647653001
2,z,0.0494121656159482
v,V,0.33760683760683763
5,s,0.0017341040462427746
S,J,0.0008551881413911061
a,u,0.0024330900243309003
2,Z,0.0529902879536548
o,0,0.26824034334763946
j,2,0.0031545741324921135
q,9,0.2633663366336634
2,a,0.009541659567217585
S,s,0.01966932725199544
x,r,0.002127659574468085
0,C,0.0010384215991692627
4,Y,0.01601708489054992
8,g,0.004793183028581573
F,p,0.003472222222222222
Y,J,0.0012531328320802004
I,j,0.003417969
0,D,0.028210453444098303
O,i,0.00024061597690086623
H,A,0.007677543186180422
1,2,0.001579778830963665
a,o,0.010340632603406326
J,j,0.17731629392971246
e,R,0.004887585532746823
c,C,0.8101851851851852
8,E,0.0019527782709036039
j,v,0.0031545741324921135
3,z,0.002680515999329871
3,J,0.0010051934997487016
9,g,0.04115371086880056
8,B,0.015444700869873956
k,K,0.2811158798283262
2,8,0.0005111603339580849
6,c,0.0015775635407537247
f,l,0.0025
Z,z,0.11637931034482758
h,b,0.012846517917511832
L,l,0.0024691358024691358
4,y,0.038796938957109804
q,g,0.04554455445544554
a,G,0.0030413625304136255
n,x,0.002107481559536354
l,i,0.029585798816568046
