Index,True Label,Predicted Label
0,I,1
13,l,1
21,y,Y
22,I,1
24,I,1
26,x,X
35,c,C
39,5,S
45,t,T
46,O,0
47,O,D
59,f,F
60,K,k
70,0,O
76,g,9
80,W,w
91,f,F
115,Y,4
132,l,1
137,l,1
154,l,1
155,l,1
159,O,0
174,p,P
183,y,Y
185,V,v
205,O,0
207,l,1
217,u,U
222,l,1
227,t,T
235,9,q
243,v,V
248,k,h
250,l,1
257,O,0
259,l,1
260,m,M
268,I,1
273,O,0
286,i,1
312,I,1
313,l,1
316,O,0
322,O,0
324,O,0
326,q,a
329,z,2
332,X,x
333,p,P
336,y,4
337,a,2
338,Y,r
352,0,O
355,m,M
393,I,l
394,s,S
411,O,0
419,t,E
423,d,O
443,I,1
445,v,V
454,T,t
456,O,0
460,l,1
463,l,1
471,t,T
474,l,1
477,T,t
482,l,1
484,I,1
488,S,J
518,0,O
520,O,0
531,I,1
534,O,0
550,0,O
553,o,0
558,j,7
563,q,9
569,l,1
572,O,0
573,q,A
602,I,1
605,u,U
611,I,1
620,x,t
624,O,0
627,9,4
629,z,2
632,0,C
653,l,1
679,Y,J
681,I,l
685,I,1
689,0,D
694,O,1
703,l,1
706,I,1
717,O,0
725,H,A
726,Z,z
739,1,L
747,0,O
750,I,l
756,a,O
764,O,0
767,O,0
806,O,0
808,J,1
828,c,C
844,z,Z
863,v,U
866,8,E
878,Z,2
879,j,v
910,v,V
928,W,w
929,l,1
954,9,g
964,O,0
968,q,9
970,Z,2
972,O,0
978,0,r
980,O,0
982,W,w
990,p,P
996,k,K
997,2,z
1003,m,M
1005,Z,z
1006,I,1
1009,f,F
1017,g,5
1023,I,1
1036,p,P
1047,f,l
1053,c,C
1071,l,1
1076,o,0
1083,0,O
1087,0,O
1096,Z,2
1100,l,I
1105,y,Y
1110,O,0
1113,I,1
1115,l,1
1132,1,l
1139,0,O
1141,m,M
1144,l,1
1146,O,0
1159,s,S
1176,O,0
1182,L,1
1186,p,P
1208,5,S
1210,l,1
1214,q,g
1222,u,U
1231,O,0
1235,m,M
1237,O,0
1241,c,C
1251,l,1
1252,f,F
1260,O,0
1263,g,9
1276,0,O
1284,q,g
1288,s,S
1289,I,1
1297,j,J
1304,V,v
1312,l,1
1319,o,0
1349,0,O
1378,O,0
1387,T,t
1390,w,W
1404,l,I
1405,n,U
1410,o,0
1417,0,O
1421,O,0
1422,0,O
1432,O,0
1447,I,l
1460,0,O
1465,O,0
1469,0,O
1487,c,C
1494,f,F
1497,O,0
1521,f,F
1549,O,0
1553,O,0
1554,s,S
1574,0,O
1581,y,Y
1595,c,C
1604,O,0
1611,v,V
1622,V,v
1624,z,2
1632,l,1
1639,4,I
1642,f,F
1645,O,0
1651,I,1
1656,O,0
1663,1,l
1667,l,1
1669,O,0
1684,p,P
1690,0,O
1691,T,t
1692,Z,z
1696,V,U
1701,1,l
1705,o,O
1710,I,1
1711,Y,y
1715,O,0
1732,O,0
1733,O,0
1736,u,U
1739,z,Z
1757,O,0
1758,O,0
1772,0,O
1778,O,0
1787,O,0
1790,0,U
1791,2,J
1805,u,U
1811,p,P
1812,m,M
1818,u,U
1821,q,9
1822,W,w
1830,l,1
1834,O,0
1836,v,V
1841,O,0
1846,b,k
1847,l,1
1857,5,S
1859,I,l
1877,0,O
1887,f,F
1888,u,U
1893,Z,2
1901,O,0
